N, x0, y0, h_est
1, -0.35091, -0.74160, 0.857219
1, 0.15583, -0.45604, 0.361590
1, -0.49639, -0.66600, 0.984813
1, -0.38340, -0.30915, 0.886866
1, 0.69190, -0.21964, 1.316316
1, 0.31688, 0.76366, 0.503393
1, -0.39311, 0.79364, 0.891331
1, 0.13426, -0.25065, 0.317221
1, 0.25410, 0.55805, 0.339700
1, -0.59052, -0.09490, 1.114459
1, -0.23313, 0.16682, 0.735197
1, -0.03664, -0.39961, 0.549165
1, -0.28504, 0.28761, 0.789376
1, 0.17309, -0.71501, 0.480887
1, -0.59759, 0.37358, 1.109184
2, -0.35091, -0.74160, -0.038598
2, 0.15583, -0.45604, 0.967401
2, -0.49639, -0.66600, 0.227905
2, -0.38340, -0.30915, 0.532435
2, 0.69190, -0.21964, 0.960603
2, 0.31688, 0.76366, 0.473152
2, -0.39311, 0.79364, 1.011437
2, 0.13426, -0.25065, -0.056943
2, 0.25410, 0.55805, 0.561403
2, -0.59052, -0.09490, 1.256059
2, -0.23313, 0.16682, 0.913436
2, -0.03664, -0.39961, 0.554514
2, -0.28504, 0.28761, 1.185147
2, 0.17309, -0.71501, 0.880854
2, -0.59759, 0.37358, 0.807252
3, -0.35091, -0.74160, 0.636570
3, 0.15583, -0.45604, 1.041965
3, -0.49639, -0.66600, 0.190965
3, -0.38340, -0.30915, 0.183015
3, 0.69190, -0.21964, 0.336475
3, 0.31688, 0.76366, 2.059366
3, -0.39311, 0.79364, 0.416477
3, 0.13426, -0.25065, -0.003456
3, 0.25410, 0.55805, 0.990350
3, -0.59052, -0.09490, 0.939608
3, -0.23313, 0.16682, 0.836608
3, -0.03664, -0.39961, 0.932141
3, -0.28504, 0.28761, 0.609643
3, 0.17309, -0.71501, 0.120395
3, -0.59759, 0.37358, 0.444656
4, -0.35091, -0.74160, 0.075424
4, 0.15583, -0.45604, 0.480501
4, -0.49639, -0.66600, 0.789726
4, -0.38340, -0.30915, 0.300095
4, 0.69190, -0.21964, 0.090180
4, 0.31688, 0.76366, 1.388391
4, -0.39311, 0.79364, 0.976656
4, 0.13426, -0.25065, 0.347036
4, 0.25410, 0.55805, 1.138513
4, -0.59052, -0.09490, 0.802936
4, -0.23313, 0.16682, 0.459791
4, -0.03664, -0.39961, 0.846293
4, -0.28504, 0.28761, 0.309578
4, 0.17309, -0.71501, 0.307501
4, -0.59759, 0.37358, 0.623428
5, -0.35091, -0.74160, 0.346621
5, 0.15583, -0.45604, 0.475017
5, -0.49639, -0.66600, 0.240806
5, -0.38340, -0.30915, 0.413623
5, 0.69190, -0.21964, 0.031685
5, 0.31688, 0.76366, 0.849418
5, -0.39311, 0.79364, 0.363424
5, 0.13426, -0.25065, 0.741895
5, 0.25410, 0.55805, 0.720100
5, -0.59052, -0.09490, 0.371866
5, -0.23313, 0.16682, 0.397824
5, -0.03664, -0.39961, 0.202140
5, -0.28504, 0.28761, 0.287637
5, 0.17309, -0.71501, 0.412980
5, -0.59759, 0.37358, 0.550693
6, -0.35091, -0.74160, 0.415630
6, 0.15583, -0.45604, 0.846252
6, -0.49639, -0.66600, 0.338320
6, -0.38340, -0.30915, 0.494780
6, 0.69190, -0.21964, -0.179455
6, 0.31688, 0.76366, 0.616068
6, -0.39311, 0.79364, 0.287892
6, 0.13426, -0.25065, 0.803295
6, 0.25410, 0.55805, 0.544049
6, -0.59052, -0.09490, 0.291383
6, -0.23313, 0.16682, 0.985323
6, -0.03664, -0.39961, 0.345112
6, -0.28504, 0.28761, 0.236701
6, 0.17309, -0.71501, 0.523305
6, -0.59759, 0.37358, 0.625490
7, -0.35091, -0.74160, 0.258577
7, 0.15583, -0.45604, 0.390398
7, -0.49639, -0.66600, 0.274298
7, -0.38340, -0.30915, 0.712822
7, 0.69190, -0.21964, 0.109636
7, 0.31688, 0.76366, 0.514234
7, -0.39311, 0.79364, 0.284300
7, 0.13426, -0.25065, 0.624230
7, 0.25410, 0.55805, 0.714007
7, -0.59052, -0.09490, 0.324929
7, -0.23313, 0.16682, 0.680366
7, -0.03664, -0.39961, 0.327777
7, -0.28504, 0.28761, 0.298918
7, 0.17309, -0.71501, 0.406481
7, -0.59759, 0.37358, 0.435171
8, -0.35091, -0.74160, 0.307681
8, 0.15583, -0.45604, 0.266487
8, -0.49639, -0.66600, 0.285836
8, -0.38340, -0.30915, 0.586094
8, 0.69190, -0.21964, 0.176125
8, 0.31688, 0.76366, 0.439600
8, -0.39311, 0.79364, 0.464931
8, 0.13426, -0.25065, 0.475145
8, 0.25410, 0.55805, 0.414976
8, -0.59052, -0.09490, 0.390370
8, -0.23313, 0.16682, 0.490282
8, -0.03664, -0.39961, 0.344677
8, -0.28504, 0.28761, 0.335612
8, 0.17309, -0.71501, 0.407834
8, -0.59759, 0.37358, 0.515894
9, -0.35091, -0.74160, 0.416020
9, 0.15583, -0.45604, 0.543579
9, -0.49639, -0.66600, 0.502357
9, -0.38340, -0.30915, 0.522390
9, 0.69190, -0.21964, 0.145790
9, 0.31688, 0.76366, 0.401398
9, -0.39311, 0.79364, 0.330871
9, 0.13426, -0.25065, 0.628189
9, 0.25410, 0.55805, 0.372954
9, -0.59052, -0.09490, 0.582042
9, -0.23313, 0.16682, 0.398049
9, -0.03664, -0.39961, 0.357569
9, -0.28504, 0.28761, 0.371994
9, 0.17309, -0.71501, 0.355530
9, -0.59759, 0.37358, 0.323178
10, -0.35091, -0.74160, 0.348700
10, 0.15583, -0.45604, 0.362321
10, -0.49639, -0.66600, 0.324397
10, -0.38340, -0.30915, 0.494973
10, 0.69190, -0.21964, 0.275348
10, 0.31688, 0.76366, 0.374667
10, -0.39311, 0.79364, 0.336339
10, 0.13426, -0.25065, 0.409934
10, 0.25410, 0.55805, 0.301571
10, -0.59052, -0.09490, 0.643896
10, -0.23313, 0.16682, 0.684154
10, -0.03664, -0.39961, 0.346964
10, -0.28504, 0.28761, 0.648385
10, 0.17309, -0.71501, 0.407535
10, -0.59759, 0.37358, 0.256650
11, -0.35091, -0.74160, 0.305407
11, 0.15583, -0.45604, 0.393757
11, -0.49639, -0.66600, 0.244495
11, -0.38340, -0.30915, 0.649046
11, 0.69190, -0.21964, 0.227725
11, 0.31688, 0.76366, 0.422164
11, -0.39311, 0.79364, 0.341514
11, 0.13426, -0.25065, 0.349916
11, 0.25410, 0.55805, 0.248853
11, -0.59052, -0.09490, 0.561947
11, -0.23313, 0.16682, 0.571969
11, -0.03664, -0.39961, 0.540198
11, -0.28504, 0.28761, 0.403653
11, 0.17309, -0.71501, 0.300919
11, -0.59759, 0.37358, 0.390447
12, -0.35091, -0.74160, 0.319140
12, 0.15583, -0.45604, 0.293483
12, -0.49639, -0.66600, 0.454664
12, -0.38340, -0.30915, 0.476887
12, 0.69190, -0.21964, 0.276917
12, 0.31688, 0.76366, 0.353789
12, -0.39311, 0.79364, 0.411339
12, 0.13426, -0.25065, 0.348624
12, 0.25410, 0.55805, 0.215868
12, -0.59052, -0.09490, 0.501201
12, -0.23313, 0.16682, 0.493631
12, -0.03664, -0.39961, 0.403191
12, -0.28504, 0.28761, 0.481419
12, 0.17309, -0.71501, 0.327075
12, -0.59759, 0.37358, 0.293284
13, -0.35091, -0.74160, 0.296528
13, 0.15583, -0.45604, 0.318448
13, -0.49639, -0.66600, 0.362755
13, -0.38340, -0.30915, 0.460850
13, 0.69190, -0.21964, 0.240611
13, 0.31688, 0.76366, 0.327939
13, -0.39311, 0.79364, 0.357166
13, 0.13426, -0.25065, 0.409208
13, 0.25410, 0.55805, 0.264763
13, -0.59052, -0.09490, 0.433057
13, -0.23313, 0.16682, 0.439153
13, -0.03664, -0.39961, 0.354635
13, -0.28504, 0.28761, 0.498571
13, 0.17309, -0.71501, 0.299196
13, -0.59759, 0.37358, 0.325642
