N, x0, y0, h_est
1, 0.35355, 0.62832, 0.793877
1, 1.41421, 3.14159, 0.878677
2, 0.35355, 0.62832, 0.762998
2, 1.41421, 3.14159, 0.878643
3, 0.35355, 0.62832, 0.954031
3, 1.41421, 3.14159, 0.878643
4, 0.35355, 0.62832, 0.708071
4, 1.41421, 3.14159, 0.878643
5, 0.35355, 0.62832, 0.545946
5, 1.41421, 3.14159, 0.878643
6, 0.35355, 0.62832, 0.409256
6, 1.41421, 3.14159, 0.878643
7, 0.35355, 0.62832, 0.352942
7, 1.41421, 3.14159, 0.878643
8, 0.35355, 0.62832, 0.394536
8, 1.41421, 3.14159, 0.878643
9, 0.35355, 0.62832, 0.318741
9, 1.41421, 3.14159, 0.878643
10, 0.35355, 0.62832, 0.297505
10, 1.41421, 3.14159, 0.878643
11, 0.35355, 0.62832, 0.327785
